year,country,cluster_k3
2019,Afghanistan,0
2019,Albania,1
2019,Algeria,1
2019,Argentina,1
2019,Armenia,1
2019,Australia,2
2019,Austria,2
2019,Azerbaijan,1
2019,Bahrain,2
2019,Bangladesh,0
2019,Belarus,1
2019,Belgium,2
2019,Benin,0
2019,Bhutan,2
2019,Bolivia,1
2019,Bosnia and Herzegovina,1
2019,Botswana,1
2019,Brazil,1
2019,Bulgaria,1
2019,Burkina Faso,0
2019,Burundi,0
2019,Cambodia,0
2019,Cameroon,0
2019,Canada,2
2019,Central African Republic,0
2019,Chad,0
2019,Chile,1
2019,China,1
2019,Colombia,1
2019,Comoros,0
2019,Congo (Brazzaville),0
2019,Congo (Kinshasa),0
2019,Costa Rica,1
2019,Croatia,1
2019,Cyprus,1
2019,Czech Republic,1
2019,Denmark,2
2019,Dominican Republic,1
2019,Ecuador,1
2019,Egypt,1
2019,El Salvador,1
2019,Estonia,1
2019,Eswatini,0
2019,Ethiopia,0
2019,Finland,2
2019,France,1
2019,Gabon,1
2019,Gambia,0
2019,Georgia,1
2019,Germany,2
2019,Ghana,0
2019,Greece,1
2019,Guatemala,1
2019,Guinea,0
2019,Haiti,0
2019,Honduras,1
2019,Hong Kong,2
2019,Hungary,1
2019,Iceland,2
2019,India,0
2019,Indonesia,2
2019,Iran,1
2019,Iraq,1
2019,Ireland,2
2019,Israel,1
2019,Italy,1
2019,Ivory Coast,0
2019,Jamaica,1
2019,Japan,1
2019,Jordan,1
2019,Kazakhstan,1
2019,Kenya,0
2019,Kosovo,1
2019,Kuwait,1
2019,Kyrgyzstan,1
2019,Laos,0
2019,Latvia,1
2019,Lebanon,1
2019,Lesotho,0
2019,Liberia,0
2019,Libya,1
2019,Lithuania,1
2019,Luxembourg,2
2019,Madagascar,0
2019,Malawi,0
2019,Malaysia,1
2019,Mali,0
2019,Malta,2
2019,Mauritania,0
2019,Mauritius,1
2019,Mexico,1
2019,Moldova,1
2019,Mongolia,1
2019,Montenegro,1
2019,Morocco,1
2019,Mozambique,0
2019,Myanmar,2
2019,Namibia,1
2019,Nepal,0
2019,Netherlands,2
2019,New Zealand,2
2019,Nicaragua,1
2019,Niger,0
2019,Nigeria,0
2019,North Macedonia,1
2019,Northern Cyprus,1
2019,Norway,2
2019,Pakistan,0
2019,Palestinian Territories,1
2019,Panama,1
2019,Paraguay,1
2019,Peru,1
2019,Philippines,1
2019,Poland,1
2019,Portugal,1
2019,Qatar,2
2019,Romania,1
2019,Russia,1
2019,Rwanda,0
2019,Saudi Arabia,1
2019,Senegal,0
2019,Serbia,1
2019,Sierra Leone,0
2019,Singapore,2
2019,Slovakia,1
2019,Slovenia,1
2019,Somalia,0
2019,South Africa,1
2019,South Korea,1
2019,South Sudan,0
2019,Spain,1
2019,Sri Lanka,1
2019,Sweden,2
2019,Switzerland,2
2019,Syria,0
2019,Taiwan,1
2019,Tajikistan,0
2019,Tanzania,0
2019,Thailand,2
2019,Togo,0
2019,Trinidad and Tobago,1
2019,Tunisia,1
2019,Turkey,1
2019,Turkmenistan,1
2019,Uganda,0
2019,Ukraine,1
2019,United Arab Emirates,2
2019,United Kingdom,2
2019,United States,2
2019,Uruguay,1
2019,Uzbekistan,2
2019,Venezuela,1
2019,Vietnam,1
2019,Yemen,0
2019,Zambia,0
2019,Zimbabwe,0
